Index,Name,Quantity,Source,Notes
1,Core Plate,1,3D Print (ASA),Reinforced center panel
2,Extension Slider,2,3D Print (ASA),Telescoping wings
3,Pipe Collar (Half),2,3D Print (ASA),Bolts together to clamp pipe
4,Sill Support Brace,1,3D Print (ASA),Weight distribution arm
5,M5 x 20mm Bolts,8,OTS (Stainless),For connecting Sliders to Core
6,M5 Wing Nuts,8,OTS (Stainless),Tool-less width adjustment
7,M6 x 100mm Bolt,1,OTS (Stainless),Main pivot for Sill Support
8,Silicone Bulb Seal (1/2"),2m,OTS (Hardware Store),Airtight window interface
9,EPDM Foam Tape (10mm),1m,OTS (Hardware Store),Internal panel joinery seal
10,Rubber Pad (Adhesive),1,OTS,Placed under Sill Support foot
